per_class,adaptation_examples,comparison,comparator,mean_delta_pp,ci95_low_pp,ci95_high_pp,std_delta_pp,paired_effect_dz,paired_t_p,wilcoxon_p,wins,ties,losses,n_pairs,paired_t_p_holm,wilcoxon_p_holm
5,50,dora_vs_lora,lora,0.4583333333333333,-0.4104643203851576,1.3271309870518242,1.8563480991202095,0.246900532044908,0.2833062409868049,0.20447184413933628,13,1,6,20,1.0,1.0
5,50,dora_vs_lora_plus,lora_plus,2.4583333333333353,1.2666216899656217,3.6500449767010488,2.546314017304985,0.965447826397795,0.0003711820648309206,0.002192178473180634,16,0,4,20,0.005567730972463809,0.032882677097709506
5,50,dora_vs_lora_matched,lora_matched,-0.18055555555555386,-1.1481676504322595,0.7870565393211519,2.0674835680347172,-0.08733107162113221,0.7004695451297229,0.6670585690150376,8,0,12,20,1.0,1.0
5,50,dora_vs_dora_budgeted,dora_budgeted,0.04166666666666763,-0.7830084048722172,0.8663417382055525,1.7620719794658548,0.023646404433091458,0.9168892578438257,0.8089572849029811,10,1,9,20,1.0,1.0
10,100,dora_vs_lora,lora,0.5277777777777759,-0.24870298882320874,1.3042585443787607,1.6590958653189356,0.31811168288115693,0.17105231178987954,0.05775691509818354,15,1,4,20,1.0,0.5529463533755202
10,100,dora_vs_lora_plus,lora_plus,2.8333333333333313,1.5152184061321394,4.151448260534523,2.816398190141461,1.0060130500194007,0.0002457263952012366,0.0010136633878063464,17,0,3,20,0.003931622323219785,0.016218614204901543
10,100,dora_vs_lora_matched,lora_matched,-0.09722222222222243,-0.8854988844176412,0.6910544399731964,1.6842999945778339,-0.0577226281156588,0.79907172743822,0.7624419520046469,9,1,10,20,1.0,1.0
10,100,dora_vs_dora_budgeted,dora_budgeted,-0.6666666666666676,-1.3314355980414647,-0.0018977352918704282,1.420402710377984,-0.4693504608205519,0.04941224428414348,0.05529463533755202,6,1,13,20,0.5929469314097218,0.5529463533755202
20,200,dora_vs_lora,lora,0.9166666666666673,-0.11916595104986316,1.9524992843831979,2.2132494288800664,0.41417232721506353,0.07959407521611322,0.04354679310258516,13,0,7,20,0.7163466769450191,0.4790147241284368
20,200,dora_vs_lora_plus,lora_plus,1.749999999999999,0.7393781310301268,2.7606218689698707,2.159381965825866,0.810417067334682,0.0018057911445867082,0.006562349751668639,16,1,3,20,0.025281076024213915,0.08672417440757532
20,200,dora_vs_lora_matched,lora_matched,0.0972222222222224,-0.9456071032296786,1.1400515476741233,2.2281991988858487,0.04363264391748986,0.8473618161544298,0.8404380336894042,11,1,8,20,1.0,1.0
20,200,dora_vs_dora_budgeted,dora_budgeted,-0.3333333333333327,-1.1551179744832918,0.4884513078166264,1.7558960362699259,-0.18983659991706417,0.4064650779953957,0.5703274891665993,8,2,10,20,1.0,1.0
40,400,dora_vs_lora,lora,0.6944444444444453,-0.024454732978606675,1.4133436218674973,1.5360620689484275,0.4520939996388655,0.05750617176838512,0.08797704808847694,11,2,7,20,0.5957408913098625,0.7038163847078155
40,400,dora_vs_lora_plus,lora_plus,1.5416666666666683,0.5896241201614963,2.49370921317184,2.034216326347366,0.7578676105873565,0.003078143071873063,0.00619458388625538,15,1,4,20,0.040015859934349814,0.08672417440757532
40,400,dora_vs_lora_matched,lora_matched,0.6805555555555554,-0.20366784827078266,1.5647789593818935,1.889308089018483,0.36021417550226636,0.12368384170643908,0.1249346123926326,11,0,9,20,0.9894707336515126,0.8745422867484282
40,400,dora_vs_dora_budgeted,dora_budgeted,0.583333333333335,-0.011523301443162492,1.1781899681098325,1.2710220596132042,0.4589482369101086,0.05415826284635114,0.02406590901411312,14,1,5,20,0.5957408913098625,0.28879090816935743
