architecture,scenario,seed,per_class,adaptation_examples,method_id,method,implementation,allocation,selected_learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1,clean_nll
mlp,mixed,301,5,50,lora,LoRA,lora,4-4-4,0.03,1.0,0.6611111111111111,1.752844214439392,10,28,1832,0.1142003630002364,0.6138888888888889,0.6056715484904311,1.9835758209228516,0.9194444444444444,0.919744767734486,0.3316381871700287
mlp,mixed,301,5,50,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6388888888888888,2.1075398921966553,45,63,1832,0.24875430500014772,0.5916666666666667,0.590666583901878,2.41630220413208,0.7111111111111111,0.707895293472679,2.0855085849761963
mlp,mixed,301,5,50,dora,DoRA,dora,4-4-4,0.03,1.0,0.6388888888888888,1.5321882963180542,10,28,2034,0.12253676499994981,0.6111111111111112,0.6065450882364066,1.6742911338806152,0.8944444444444445,0.8946947191943163,0.4068203270435333
mlp,mixed,301,5,50,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.65,1.7291961908340454,10,28,2024,0.11735719999978755,0.6222222222222222,0.6179739116261601,1.9316318035125732,0.9166666666666666,0.916571185771183,0.32193154096603394
mlp,mixed,301,5,50,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.6472222222222223,1.474924921989441,12,30,1768,0.13061637900000278,0.6277777777777778,0.6255681595964386,1.6483687162399292,0.8861111111111111,0.8867666209068099,0.5520269870758057
mlp,mixed,301,10,100,lora,LoRA,lora,4-4-4,0.03,1.0,0.7166666666666667,1.7020331621170044,47,65,1832,0.3281981180002731,0.6611111111111111,0.6531510199870398,2.0712339878082275,0.8222222222222222,0.821734760119738,1.5261744260787964
mlp,mixed,301,10,100,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7027777777777777,1.5204087495803833,37,55,1832,0.2833272279999619,0.65,0.6438382415035232,1.7808271646499634,0.7916666666666666,0.7845857342479912,1.4811562299728394
mlp,mixed,301,10,100,dora,DoRA,dora,4-4-4,0.03,1.0,0.7194444444444444,1.099708914756775,35,53,2034,0.3121637469998859,0.6666666666666666,0.6544106719711424,1.2814692258834839,0.7805555555555556,0.7772639955264202,1.23056161403656
mlp,mixed,301,10,100,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7361111111111112,1.7464628219604492,54,72,2024,0.3598652960004074,0.6888888888888889,0.6815802952176966,1.921267032623291,0.8333333333333334,0.8339571896234753,1.4416266679763794
mlp,mixed,301,10,100,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.725,0.9965357184410095,29,47,1768,0.2714742630000728,0.6861111111111111,0.6786706601924742,1.1827893257141113,0.7944444444444444,0.7932127392302418,1.0847060680389404
mlp,mixed,301,20,200,lora,LoRA,lora,4-4-4,0.03,1.0,0.7416666666666667,0.96038818359375,14,32,1832,0.22449840800027232,0.6916666666666667,0.6879388555442006,1.1766053438186646,0.8472222222222222,0.8502491344649392,0.9318446516990662
mlp,mixed,301,20,200,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7361111111111112,1.209389567375183,39,57,1832,0.4090250519998335,0.675,0.6696558865190284,1.4024783372879028,0.7805555555555556,0.7817408938837846,1.339842677116394
mlp,mixed,301,20,200,dora,DoRA,dora,4-4-4,0.03,1.0,0.7388888888888889,0.9826810359954834,34,52,2034,0.4251045129999511,0.7166666666666667,0.7121165913570977,1.1170145273208618,0.7527777777777778,0.7504845175298513,1.4987576007843018
mlp,mixed,301,20,200,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7333333333333333,1.3856745958328247,28,46,2024,0.33230647900018084,0.6666666666666666,0.6608483085835127,1.749335765838623,0.75,0.752013742428199,2.3819808959960938
mlp,mixed,301,20,200,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7305555555555555,0.9491527080535889,27,45,1768,0.3681737349998002,0.7222222222222222,0.7138174945248543,1.0187342166900635,0.7777777777777778,0.7801369846826057,1.1645406484603882
mlp,mixed,301,40,400,lora,LoRA,lora,4-4-4,0.03,1.0,0.7805555555555556,0.8880177736282349,18,36,1832,0.36951955299991823,0.7138888888888889,0.7129516948145613,0.9675509929656982,0.8333333333333334,0.8348731354527865,0.8824091553688049
mlp,mixed,301,40,400,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7583333333333333,1.079278826713562,40,58,1832,0.5912160190000577,0.7166666666666667,0.7126148460560643,1.126543641090393,0.7888888888888889,0.7898125511122733,1.4632352590560913
mlp,mixed,301,40,400,dora,DoRA,dora,4-4-4,0.03,1.0,0.7944444444444444,0.8232994675636292,36,54,2034,0.6400051360001271,0.7361111111111112,0.7318152801552478,0.9230296015739441,0.7722222222222223,0.761924752000764,1.5527116060256958
mlp,mixed,301,40,400,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7805555555555556,0.9519330263137817,21,39,2024,0.38691315300002316,0.7416666666666667,0.738464256037369,1.0612062215805054,0.8027777777777778,0.8013144149413879,1.5254970788955688
mlp,mixed,301,40,400,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7833333333333333,0.8432042598724365,36,54,1768,0.6427375640000719,0.7416666666666667,0.7382511769034036,0.9146543145179749,0.7583333333333333,0.7511560472813047,1.5564720630645752
mlp,mixed,302,5,50,lora,LoRA,lora,4-4-4,0.03,1.0,0.6222222222222222,2.233213186264038,18,36,1832,0.14255959699994492,0.6222222222222222,0.6093795584333369,2.290771245956421,0.8555555555555555,0.8507830951224209,1.2352540493011475
mlp,mixed,302,5,50,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6138888888888889,2.225372314453125,11,29,1832,0.11583506699980717,0.6166666666666667,0.6150251440410777,2.045795202255249,0.9194444444444444,0.9183096540910982,0.41156208515167236
mlp,mixed,302,5,50,dora,DoRA,dora,4-4-4,0.03,1.0,0.6305555555555555,1.626781940460205,29,47,2034,0.20316994299992075,0.6305555555555555,0.6188731624028294,1.7265596389770508,0.7722222222222223,0.7586615959931156,1.7339144945144653
mlp,mixed,302,5,50,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.6166666666666667,2.423011302947998,25,43,2024,0.17119815699970786,0.6361111111111111,0.6223283748672876,2.432543992996216,0.7972222222222223,0.787347083276583,2.0450172424316406
mlp,mixed,302,5,50,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.6472222222222223,1.697232723236084,94,112,1768,0.4982879479998701,0.6222222222222222,0.6071762970107356,1.8292410373687744,0.6944444444444444,0.6659267842623211,2.5004613399505615
mlp,mixed,302,10,100,lora,LoRA,lora,4-4-4,0.03,1.0,0.7,1.3016818761825562,12,30,1832,0.14899681499991857,0.6527777777777778,0.6430936075347511,1.365909457206726,0.8472222222222222,0.8451500817337599,0.8843968510627747
mlp,mixed,302,10,100,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6722222222222223,1.5447160005569458,26,44,1832,0.22182286799989015,0.6444444444444445,0.6340701584950313,1.494377851486206,0.8333333333333334,0.8239926426808507,0.9998782873153687
mlp,mixed,302,10,100,dora,DoRA,dora,4-4-4,0.03,1.0,0.7222222222222222,1.013682246208191,26,44,2034,0.25437289299998156,0.7,0.6923844911094726,1.0309206247329712,0.7666666666666667,0.7523145930649286,1.3423264026641846
mlp,mixed,302,10,100,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7333333333333333,1.401749610900879,36,54,2024,0.26308640200022637,0.7,0.6915794857795973,1.3898736238479614,0.7777777777777778,0.7675832274342987,1.708061695098877
mlp,mixed,302,10,100,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.6972222222222222,1.090458869934082,31,49,1768,0.27036560000033205,0.7166666666666667,0.7122535523973694,1.1245696544647217,0.7472222222222222,0.728931879081595,1.5449621677398682
mlp,mixed,302,20,200,lora,LoRA,lora,4-4-4,0.03,1.0,0.7444444444444445,1.215466022491455,30,48,1832,0.3292045070002132,0.7194444444444444,0.713955875064492,1.2775520086288452,0.8,0.797048959145594,1.486505150794983
mlp,mixed,302,20,200,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7361111111111112,1.1655056476593018,19,37,1832,0.25780785699998887,0.6944444444444444,0.6894694478368455,1.2065646648406982,0.9,0.9013086305403901,0.48535850644111633
mlp,mixed,302,20,200,dora,DoRA,dora,4-4-4,0.03,1.0,0.7583333333333333,0.7645713686943054,9,27,2034,0.21264502800022456,0.7138888888888889,0.7055423440655868,0.83091801404953,0.8944444444444445,0.8936558890906717,0.4187101125717163
mlp,mixed,302,20,200,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7583333333333333,1.1008893251419067,23,41,2024,0.28425524900012533,0.7388888888888889,0.7322901994766619,1.132858395576477,0.8166666666666667,0.8168844268322892,1.3764686584472656
mlp,mixed,302,20,200,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7583333333333333,0.8091501593589783,11,29,1768,0.2378156179997859,0.7222222222222222,0.7115637983339225,0.813206672668457,0.8472222222222222,0.8461981531741877,0.5484893321990967
mlp,mixed,302,40,400,lora,LoRA,lora,4-4-4,0.03,1.0,0.7861111111111111,1.3404620885849,70,88,1832,0.8943800340002781,0.7805555555555556,0.7753943729481897,1.3154548406600952,0.7083333333333334,0.7046160226026807,3.006943464279175
mlp,mixed,302,40,400,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7888888888888889,0.9149668216705322,20,38,1832,0.38833825200026695,0.7361111111111112,0.7319774834208714,0.9106666445732117,0.8333333333333334,0.8319509352666351,1.0253840684890747
mlp,mixed,302,40,400,dora,DoRA,dora,4-4-4,0.03,1.0,0.7833333333333333,0.8856901526451111,29,47,2034,0.6114566429996557,0.7666666666666667,0.7632909461392665,0.9088014364242554,0.7,0.6838753583781318,2.1507296562194824
mlp,mixed,302,40,400,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7944444444444444,1.1205580234527588,35,53,2024,0.6809064170001875,0.7694444444444445,0.768212465655482,1.2658499479293823,0.7277777777777777,0.7285701147017198,2.148812770843506
mlp,mixed,302,40,400,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7805555555555556,0.6968775391578674,12,30,1768,0.4218932369999493,0.7583333333333333,0.7505927656310979,0.7492085695266724,0.8,0.7959814348652371,0.9956639409065247
mlp,mixed,303,5,50,lora,LoRA,lora,4-4-4,0.03,1.0,0.6111111111111112,2.223095417022705,16,34,1832,0.1594671399998333,0.6222222222222222,0.6141235986836737,2.002861499786377,0.8638888888888889,0.8596353664088404,0.7794800400733948
mlp,mixed,303,5,50,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6083333333333333,2.303269863128662,53,71,1832,0.316404607000095,0.6027777777777777,0.5966271459468953,2.20747709274292,0.7916666666666666,0.7741087199481961,1.5834543704986572
mlp,mixed,303,5,50,dora,DoRA,dora,4-4-4,0.03,1.0,0.6333333333333333,1.52861750125885,18,36,2034,0.1670232900000883,0.6166666666666667,0.6024014512028961,1.4976530075073242,0.8361111111111111,0.8274295968999219,0.7890657186508179
mlp,mixed,303,5,50,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.6222222222222222,2.080266237258911,16,34,2024,0.14580604000002495,0.6083333333333333,0.601124579820552,1.965296745300293,0.8972222222222223,0.8948885247888901,0.4681832194328308
mlp,mixed,303,5,50,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.625,1.6242283582687378,17,35,1768,0.1608586010002,0.6194444444444445,0.6101846432342881,1.5274180173873901,0.8444444444444444,0.8343982047247611,0.7950258851051331
mlp,mixed,303,10,100,lora,LoRA,lora,4-4-4,0.03,1.0,0.6638888888888889,1.53371000289917,15,33,1832,0.16309723399990617,0.6527777777777778,0.6438411492176416,1.6905624866485596,0.8111111111111111,0.8112506518717307,1.3002227544784546
mlp,mixed,303,10,100,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6694444444444444,1.6108170747756958,30,48,1832,0.23528696899984425,0.6472222222222223,0.643927556165367,1.7685414552688599,0.7944444444444444,0.787901926096905,1.2702480554580688
mlp,mixed,303,10,100,dora,DoRA,dora,4-4-4,0.03,1.0,0.6777777777777778,1.2255306243896484,32,50,2034,0.26566946899993127,0.6583333333333333,0.6578005963000619,1.2427785396575928,0.7611111111111111,0.7581347858802512,1.0836156606674194
mlp,mixed,303,10,100,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.6666666666666666,1.8500298261642456,25,43,2024,0.20167161800009126,0.65,0.6412847569505995,2.0365006923675537,0.775,0.7785330522835885,1.6840068101882935
mlp,mixed,303,10,100,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.6722222222222223,1.1285401582717896,10,28,1768,0.14510943999994197,0.6888888888888889,0.6843222488852612,1.1398561000823975,0.8111111111111111,0.7959847636044355,0.7676535844802856
mlp,mixed,303,20,200,lora,LoRA,lora,4-4-4,0.03,1.0,0.7027777777777777,1.2956913709640503,12,30,1832,0.19829096300009041,0.6972222222222222,0.687325738834254,1.3448680639266968,0.7916666666666666,0.7963905941897323,1.3063277006149292
mlp,mixed,303,20,200,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7055555555555556,1.357316255569458,45,63,1832,0.4165360449997024,0.675,0.664910186307001,1.5644358396530151,0.7805555555555556,0.7761901035712281,1.437865138053894
mlp,mixed,303,20,200,dora,DoRA,dora,4-4-4,0.03,1.0,0.7333333333333333,1.0955077409744263,35,53,2034,0.40670578200024465,0.6944444444444444,0.679722331760858,1.2191085815429688,0.7138888888888889,0.7025082243788157,1.8441847562789917
mlp,mixed,303,20,200,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7083333333333334,1.453820824623108,30,48,2024,0.3428250580000167,0.7138888888888889,0.7097601210655426,1.4831864833831787,0.7611111111111111,0.7570206837830415,2.0320723056793213
mlp,mixed,303,20,200,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7111111111111111,1.003272533416748,18,36,1768,0.2826989989998765,0.6861111111111111,0.6759109968557843,1.01680326461792,0.7805555555555556,0.7690700113561041,0.9780039191246033
mlp,mixed,303,40,400,lora,LoRA,lora,4-4-4,0.03,1.0,0.7555555555555555,1.0864194631576538,15,33,1832,0.3229857239998637,0.6972222222222222,0.6865062701782408,1.2407764196395874,0.7444444444444445,0.7527672895786915,2.1046993732452393
mlp,mixed,303,40,400,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.7638888888888888,1.0705127716064453,37,55,1832,0.5373479849999967,0.7361111111111112,0.7298971387569215,1.1531994342803955,0.7638888888888888,0.7693436393047766,2.285545587539673
mlp,mixed,303,40,400,dora,DoRA,dora,4-4-4,0.03,1.0,0.7555555555555555,0.7506888508796692,10,28,2034,0.3171373419995689,0.7416666666666667,0.7370393799740019,0.8050482273101807,0.7416666666666667,0.7517922369032751,1.200792908668518
mlp,mixed,303,40,400,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.7555555555555555,1.1960452795028687,28,46,2024,0.459240151999893,0.7055555555555556,0.7056213051728187,1.3506213426589966,0.6777777777777778,0.6770266193119159,3.2897820472717285
mlp,mixed,303,40,400,dora_budgeted,DoRA (LoRA-budget ceiling),dora,4-3-3,0.03,1.0,0.7527777777777778,0.8288120031356812,13,31,1768,0.3569348890000583,0.7305555555555555,0.7183227313966007,0.9228551387786865,0.7333333333333333,0.742265708625111,1.615907073020935
mlp,mixed,304,5,50,lora,LoRA,lora,4-4-4,0.03,1.0,0.6194444444444445,1.868723750114441,10,28,1832,0.10641372400004911,0.6222222222222222,0.617919265210278,1.9271830320358276,0.9333333333333333,0.9321009804502953,0.34666696190834045
mlp,mixed,304,5,50,lora_plus,LoRA+,lora_plus,4-4-4,0.003,16.0,0.6083333333333333,2.028235912322998,14,32,1832,0.1221597210001164,0.6055555555555555,0.5985780777857107,2.0910019874572754,0.8805555555555555,0.8782771566915887,0.5582178831100464
mlp,mixed,304,5,50,dora,DoRA,dora,4-4-4,0.03,1.0,0.5972222222222222,1.7979427576065063,9,27,2034,0.11218334800014418,0.5972222222222222,0.5867049658960999,1.9122096300125122,0.9055555555555556,0.9054400965908067,0.37272074818611145
mlp,mixed,304,5,50,lora_matched,LoRA (DoRA-matched budget),lora,5-4-4,0.03,1.0,0.6138888888888889,1.9411163330078125,10,28,2024,0.1057833939999,0.6,0.5939970189806114,1.9527250528335571,0.8972222222222223,0.8935522221932469,0.5373809337615967
