seed,method,rank,train_mse,train_mae,test_mse,test_mae,train_time_sec,trainable_params
123,frozen base,none,1.5102152824401855,0.8562366962432861,1.485730767250061,0.8508065938949585,0.0,0
123,LoRA rank 4,4,0.12681065499782562,0.2556740641593933,0.1318223774433136,0.26196661591529846,0.7397093772888184,128
123,DoRA rank 4,4 + magnitude,0.00014131178613752127,0.009437192231416702,0.00014522008132189512,0.00957498885691166,1.0243263244628906,136
124,frozen base,none,1.5280922651290894,0.8605583310127258,1.5125150680541992,0.8579457998275757,0.0,0
124,LoRA rank 4,4,0.13344022631645203,0.237348735332489,0.13220210373401642,0.23706495761871338,0.7412238121032715,128
124,DoRA rank 4,4 + magnitude,0.00012971866817679256,0.009052318520843983,0.00013335133553482592,0.00917176716029644,1.4643428325653076,136
125,frozen base,none,1.6238296031951904,0.9224932193756104,1.5892125368118286,0.9178242683410645,0.0,0
125,LoRA rank 4,4,0.20140153169631958,0.32522621750831604,0.19941090047359467,0.32437852025032043,1.136495590209961,128
125,DoRA rank 4,4 + magnitude,0.00012471368245314807,0.008863674476742744,0.00012439781858120114,0.008837536908686161,1.3463218212127686,136
