architecture,scenario,method_id,method,accuracy_mean_pct,accuracy_ci95_low_pct,accuracy_ci95_high_pct,accuracy_std_pct,macro_f1_mean_pct,target_nll_mean,clean_accuracy_mean_pct,trainable_parameters,allocation,selected_learning_rate,n_seeds
cnn,contrast,dora,DoRA,96.16666666666666,95.53968762531647,96.79364570801684,0.8764562641629043,96.13009391969732,0.15131713598966595,78.25,1990,4-4-4-4,0.03,10
cnn,contrast,frozen,Frozen,27.77777777777778,27.77777777777778,27.77777777777778,0.0,18.46872270878558,1.9121378660202022,97.5,0,0-0-0-0,0.0,10
cnn,contrast,full,Full fine-tuning,96.02777777777779,95.64098691319907,96.4145686423565,0.5406963452094988,96.00994616606886,0.3950271561741829,78.16666666666666,13706,0-0-0-0,0.0003,10
cnn,contrast,lora,LoRA,96.47222222222223,95.96734348045078,96.97710096399368,0.7057718148207193,96.45049623354629,0.15228074342012404,90.63888888888889,1868,4-4-4-4,0.03,10
cnn,contrast,lora_plus,LoRA+,94.77777777777777,94.2095297647486,95.34602579080695,0.7943559477602727,94.73156808745543,0.5230512350797654,76.77777777777777,1868,4-4-4-4,0.0003,10
cnn,contrast,magnitude,Magnitude-only,96.97222222222221,96.73432253349395,97.21012191095048,0.33256083326051666,96.95578718774468,0.11906146481633181,81.38888888888889,122,0-0-0-0,0.03,10
cnn,mixed,dora,DoRA,80.52777777777777,79.93201511839457,81.12354043716097,0.8328187711766251,80.22187765723704,0.6143966019153595,86.38888888888889,1990,4-4-4-4,0.01,10
cnn,mixed,frozen,Frozen,63.333333333333336,63.33333333333333,63.33333333333334,1.1702778228589004e-14,62.211849985360004,1.7732739448547363,97.5,0,0-0-0-0,0.0,10
cnn,mixed,full,Full fine-tuning,80.66666666666667,79.89308493750924,81.4402483958241,1.0813926904189946,80.40304496470625,0.6132628202438355,90.16666666666666,13706,0-0-0-0,0.001,10
cnn,mixed,lora,LoRA,79.61111111111111,78.90265650073539,80.31956572148684,0.9903512560830339,79.27615401312751,0.6748758435249329,86.1111111111111,1868,4-4-4-4,0.01,10
cnn,mixed,lora_plus,LoRA+,79.49999999999999,78.49634382599204,80.50365617400793,1.4030145870278379,79.24630411812565,0.6812297344207764,87.19444444444446,1868,4-4-4-4,0.001,10
cnn,mixed,magnitude,Magnitude-only,73.13888888888889,72.37759835889797,73.9001794188798,1.0642107787551573,72.77205611301991,0.783439826965332,89.97222222222221,122,0-0-0-0,0.03,10
cnn,rotation,dora,DoRA,95.66666666666667,94.9834320964258,96.34990123690754,0.9550960709798291,95.63830166556355,0.15976876392960543,80.55555555555556,1990,4-4-4-4,0.03,10
cnn,rotation,frozen,Frozen,60.277777777777786,60.27777777777777,60.2777777777778,0.0,58.68226715851177,2.116419076919556,97.5,0,0-0-0-0,0.0,10
cnn,rotation,full,Full fine-tuning,95.74999999999999,95.32022607115839,96.17977392884158,0.6007825258336468,95.73706985975005,0.15203369706869121,84.33333333333334,13706,0-0-0-0,0.001,10
cnn,rotation,lora,LoRA,95.30555555555556,94.82379986347816,95.78731124763296,0.6734480202210458,95.27755887775037,0.18134255111217495,82.19444444444444,1868,4-4-4-4,0.03,10
cnn,rotation,lora_plus,LoRA+,95.27777777777776,94.95328529562882,95.6022702599267,0.4536092116265174,95.26285012908045,0.18627603054046626,81.19444444444446,1868,4-4-4-4,0.003,10
cnn,rotation,magnitude,Magnitude-only,90.44444444444444,89.62674914320627,91.26213974568262,1.1430592120008143,90.35278026422102,0.3437009871006012,84.3888888888889,122,0-0-0-0,0.03,10
mlp,contrast,dora,DoRA,95.18055555555554,94.80500963937396,95.55610147173712,0.8024238378778085,95.17368621190698,0.6010414123535156,78.47222222222221,2034,4-4-4,0.003,20
mlp,contrast,dora_budgeted,DoRA (LoRA-budget ceiling),95.66666666666666,95.38879786824063,95.94453546509268,0.5937184723683877,95.65777737845636,0.6128360435366631,78.68055555555556,1798,3-3-6,0.003,20
mlp,contrast,frozen,Frozen,77.5,77.5,77.5,1.1390647892519134e-14,73.29448733881522,1.2232364416122437,97.50000000000001,0,0-0-0,0.0,20
mlp,contrast,full,Full fine-tuning,96.06944444444449,95.78878852713692,96.35010036175206,0.5996736712752995,96.07616240347781,0.3055210031569004,93.0,17226,0-0-0,0.001,20
mlp,contrast,lora,LoRA,95.375,94.96114168809264,95.78885831190736,0.8842854113683777,95.35986535826615,0.6692984573543072,78.26388888888889,1832,4-4-4,0.003,20
mlp,contrast,lora_matched,LoRA (DoRA-matched budget),94.75,94.28240392206497,95.21759607793503,0.9991061632309698,94.7278585598743,0.6215926766395569,78.31944444444446,2024,5-4-4,0.003,20
mlp,contrast,lora_plus,LoRA+,95.8888888888889,95.54209753095219,96.23568024682561,0.7409843653948394,95.87624614482306,0.9046726554632187,85.43055555555557,1832,4-4-4,0.0003,20
mlp,contrast,magnitude,Magnitude-only,96.90277777777779,96.7971199243023,97.00843563125328,0.22575769469089677,96.89622351551165,0.10664229840040204,90.81944444444446,202,0-0-0,0.03,20
mlp,mixed,dora,DoRA,75.22222222222223,74.31503331217341,76.12941113227104,1.9383781729890766,74.94241816249809,0.795535558462143,76.19444444444444,2034,4-4-4,0.03,20
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),74.98611111111111,74.0462934315837,75.92592879063852,2.008095619783487,74.38989033677063,0.79324751496315,76.1388888888889,1768,4-3-3,0.03,20
mlp,mixed,frozen,Frozen,50.833333333333336,50.833333333333336,50.833333333333336,1.1390647892519134e-14,50.26981153315153,3.1546669006347656,97.50000000000001,0,0-0-0,0.0,20
mlp,mixed,full,Full fine-tuning,75.16666666666667,74.37712152219036,75.95621181114298,1.6870103433694401,74.91858984743288,0.8591833919286728,86.04166666666669,17226,0-0-0,0.001,20
mlp,mixed,lora,LoRA,74.16666666666667,73.1021201714,75.23121316193334,2.274601979477341,73.81913189785638,1.0785928457975387,76.98611111111111,1832,4-4-4,0.03,20
mlp,mixed,lora_matched,LoRA (DoRA-matched budget),74.69444444444446,73.84466847825968,75.54422041062924,1.8157047187610096,74.38939367699577,1.0353873074054718,77.77777777777779,2024,5-4-4,0.03,20
mlp,mixed,lora_plus,LoRA+,73.79166666666669,72.58807140611614,74.99526192721723,2.571705580085573,73.50886479534304,1.012715858221054,79.90277777777777,1832,4-4-4,0.003,20
mlp,mixed,magnitude,Magnitude-only,66.16666666666666,65.4173534108759,66.91597992245741,1.6010474154473746,65.2979279543555,1.0270566582679748,90.84722222222223,202,0-0-0,0.03,20
mlp,rotation,dora,DoRA,93.88888888888889,93.33571822306617,94.4420595547116,1.1819522182109772,93.84568689701455,0.20439647063612934,66.76388888888889,2034,4-4-4,0.03,20
mlp,rotation,dora_budgeted,DoRA (LoRA-budget ceiling),93.43055555555556,92.94179910879141,93.9193120023197,1.044319234749401,93.38582297707626,0.21265034079551692,69.31944444444443,1768,3-4-3,0.03,20
mlp,rotation,frozen,Frozen,51.666666666666664,51.666666666666664,51.666666666666664,1.1390647892519134e-14,50.47112152542345,3.822019100189209,97.50000000000001,0,0-0-0,0.0,20
mlp,rotation,full,Full fine-tuning,92.90277777777777,92.54868875718294,93.2568667983726,0.7565771816800047,92.88140942246844,0.24375060573220247,74.47222222222223,17226,0-0-0,0.001,20
mlp,rotation,lora,LoRA,93.47222222222221,92.91027685260339,94.03416759184104,1.200701008153633,93.44472068976614,0.25898761600255965,71.40277777777779,1832,4-4-4,0.03,20
mlp,rotation,lora_matched,LoRA (DoRA-matched budget),93.88888888888889,93.50927907829333,94.26849869948444,0.8111071056538148,93.86453012365665,0.24005921855568882,70.81944444444443,2024,5-4-4,0.03,20
mlp,rotation,lora_plus,LoRA+,92.38888888888889,91.72545940866617,93.0523183691116,1.4175407233671131,92.34798372853733,0.2942755937576294,69.15277777777777,1832,4-4-4,0.003,20
mlp,rotation,magnitude,Magnitude-only,85.56944444444443,84.5514777634987,86.58741112539016,2.175075525415282,85.3896085897517,0.4417551070451736,81.375,202,0-0-0,0.03,20
