method,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,train_mse_mean,trainable_params,train_time_sec_mean
frozen base,1.529152790705363,0.053709678077339784,0.8755255540211996,0.03680527122807597,1.5540457169214885,0,0.0
LoRA rank 4,0.15447846055030823,0.03891309761646805,0.2744700312614441,0.044979618732761226,0.15388413767019907,128,0.8724762598673502
DoRA rank 4,0.00013432307847930738,1.04450883037548e-05,0.00919476430863142,0.0003692634501396686,0.00013191471225582063,136,1.2783303260803223
