architecture,scenario,pilot_seed,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,train_seconds
cnn,contrast,33,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9583333333333334,0.4524070620536804,6,24,1868,0.47224695600016275
cnn,contrast,44,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9611111111111111,0.16672953963279724,19,37,1868,0.7071615820000261
cnn,contrast,55,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,0.9555555555555556,0.5345956683158875,5,23,1868,0.43635291900000084
cnn,contrast,11,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9638888888888889,0.14405761659145355,33,51,1868,0.9645920110001498
cnn,contrast,22,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9666666666666667,0.13025467097759247,36,54,1868,1.054894848999993
cnn,contrast,33,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9555555555555556,0.1439213901758194,13,31,1868,0.5921023659998355
cnn,contrast,44,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9555555555555556,0.14147774875164032,18,36,1868,0.6705194820001452
cnn,contrast,55,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,0.9527777777777777,0.13552123308181763,16,34,1868,0.6313726640000823
cnn,contrast,11,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9583333333333334,0.1972498595714569,46,64,1990,1.3497604730000603
cnn,contrast,22,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9611111111111111,0.388622909784317,11,29,1990,0.6198591070001385
cnn,contrast,33,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9583333333333334,0.2920951843261719,15,33,1990,0.705781307000052
cnn,contrast,44,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9611111111111111,0.2671273648738861,21,39,1990,0.8246557110001049
cnn,contrast,55,dora,DoRA,dora,4-4-4-4,0.003,1.0,0.9583333333333334,0.3463078737258911,12,30,1990,0.6371327209999436
cnn,contrast,11,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9611111111111111,0.21621936559677124,10,28,1990,0.5994622889998027
cnn,contrast,22,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9555555555555556,0.14193595945835114,28,46,1990,0.9720541480000975
cnn,contrast,33,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9527777777777777,0.1784747689962387,13,31,1990,0.6579589990001296
cnn,contrast,44,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9527777777777777,0.20007534325122833,23,41,1990,0.9489801489999081
cnn,contrast,55,dora,DoRA,dora,4-4-4-4,0.01,1.0,0.9444444444444444,0.310812383890152,5,23,1990,0.5753581269996175
cnn,contrast,11,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9638888888888889,0.14998173713684082,22,40,1990,1.0014994349999142
cnn,contrast,22,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9694444444444444,0.13288052380084991,35,53,1990,1.1465788099999372
cnn,contrast,33,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9555555555555556,0.17457900941371918,14,32,1990,0.6893077520003317
cnn,contrast,44,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.95,0.1722128689289093,23,41,1990,0.8641721610001696
cnn,contrast,55,dora,DoRA,dora,4-4-4-4,0.03,1.0,0.9638888888888889,0.16356372833251953,23,41,1990,0.8732470720001402
cnn,contrast,11,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9722222222222222,0.30665284395217896,116,120,13706,2.0855212289998235
cnn,contrast,22,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9694444444444444,0.6004131436347961,45,63,13706,1.0880089849997603
cnn,contrast,33,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9666666666666667,0.5349617600440979,52,70,13706,1.1975590340002782
cnn,contrast,44,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9722222222222222,0.5122785568237305,57,75,13706,1.3198421649999545
cnn,contrast,55,full,Full fine-tuning,full,0-0-0-0,0.0001,1.0,0.9722222222222222,0.572554886341095,48,66,13706,1.1366673950001314
cnn,contrast,11,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9805555555555555,0.1536208838224411,107,120,13706,2.0211710120001953
cnn,contrast,22,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.6460447311401367,14,32,13706,0.5670832340001652
cnn,contrast,33,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9666666666666667,0.4895927906036377,20,38,13706,0.6689872209999521
cnn,contrast,44,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.2538340985774994,52,70,13706,1.2743665150001107
cnn,contrast,55,full,Full fine-tuning,full,0-0-0-0,0.0003,1.0,0.9694444444444444,0.3920024037361145,28,46,13706,0.8170242840001265
cnn,contrast,11,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9805555555555555,0.12854164838790894,49,67,13706,1.1763860309997654
cnn,contrast,22,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9666666666666667,0.3546459376811981,10,28,13706,0.48964845499995135
cnn,contrast,33,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9638888888888889,0.4678586423397064,7,25,13706,0.43034211599979244
cnn,contrast,44,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9694444444444444,0.17553798854351044,30,48,13706,0.8364840720000757
cnn,contrast,55,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,0.9694444444444444,0.19877880811691284,24,42,13706,0.7169116059999396
cnn,rotation,11,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0
cnn,rotation,22,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0
cnn,rotation,33,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0
cnn,rotation,44,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0
cnn,rotation,55,frozen,Frozen,frozen,0-0-0-0,0.0,1.0,0.6083333333333333,2.488429546356201,0,0,0,0.0
cnn,rotation,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.8333333333333334,0.6452637314796448,41,59,122,1.0140948860002936
cnn,rotation,22,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.8333333333333334,0.6509055495262146,47,65,122,1.148025994999898
cnn,rotation,33,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.8444444444444444,0.5709641575813293,95,113,122,2.1049060850000387
cnn,rotation,44,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.85,0.5647743344306946,117,120,122,2.290437235999889
cnn,rotation,55,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,0.8527777777777777,0.5757194757461548,119,120,122,2.092279990999941
cnn,rotation,11,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,0.8861111111111111,0.46894532442092896,120,120,122,2.093575355000212
