architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
cnn,rotation,full,Full fine-tuning,full,0-0-0-0,0.001,1.0,13706,0.9433333333333334,0.004648111258522636,0.2429517924785614,95.6,9.617277333999937,5
cnn,rotation,lora,LoRA,lora,4-4-4-4,0.003,1.0,1868,0.9427777777777777,0.005046083923495819,0.26560809910297395,85.4,11.114382278999528,5
cnn,rotation,lora,LoRA,lora,4-4-4-4,0.01,1.0,1868,0.946111111111111,0.008471083712209372,0.2421176791191101,33.2,5.306279105001067,5
cnn,rotation,lora,LoRA,lora,4-4-4-4,0.03,1.0,1868,0.9566666666666667,0.012969575033254188,0.21440456807613373,35.0,5.081038278000051,5
cnn,rotation,lora_plus,LoRA+,lora_plus,4-4-4-4,0.0003,16.0,1868,0.9322222222222223,0.009938079899999069,0.3016450643539429,93.6,10.324466701999881,5
cnn,rotation,lora_plus,LoRA+,lora_plus,4-4-4-4,0.001,16.0,1868,0.9416666666666667,0.012880025688188463,0.25310583114624025,64.8,7.825963964999573,5
cnn,rotation,lora_plus,LoRA+,lora_plus,4-4-4-4,0.003,16.0,1868,0.945,0.009296222517045281,0.22106729149818422,32.4,4.89959216599982,5
cnn,rotation,magnitude,Magnitude-only,magnitude,0-0-0-0,0.003,1.0,122,0.8427777777777777,0.009128709291752754,0.6015254497528076,83.8,8.64974419300006,5
cnn,rotation,magnitude,Magnitude-only,magnitude,0-0-0-0,0.01,1.0,122,0.8838888888888888,0.009086348463220085,0.5208254337310791,108.8,10.004557777000173,5
cnn,rotation,magnitude,Magnitude-only,magnitude,0-0-0-0,0.03,1.0,122,0.8955555555555555,0.012819978621349254,0.5298317849636078,71.0,7.726715210000293,5
