scenario,seed,method,rank,selected_learning_rate,validation_accuracy,validation_nll,best_epoch,epochs_ran,trainable_parameters,target_accuracy,target_macro_f1,target_nll,clean_accuracy,clean_macro_f1
mixed,44,DoRA,1,0.03,0.7638888888888888,0.7604529622182267,20,38,660,0.7277777777777777,0.7271184005676573,0.8529459640272832,0.7944444444444444,0.7960822425788934
mixed,44,DoRA,2,0.03,0.7666666666666667,0.7675146650400162,13,31,1118,0.7527777777777778,0.7524394450079912,0.828794964344611,0.8305555555555556,0.829349384190178
mixed,44,DoRA,4,0.03,0.8,0.6572237759032976,12,30,2034,0.7722222222222223,0.7676446872693156,0.7723552864439657,0.8111111111111111,0.8151990025636721
mixed,44,DoRA,8,0.01,0.7888888888888889,0.8416798828461344,21,39,3866,0.7805555555555556,0.7757653246405835,0.8036577368763101,0.8305555555555556,0.833363563735219
mixed,55,Frozen,0,0.0,0.48055555555555557,3.2889899899291626,0,0,0,0.5083333333333333,0.5026981153315153,3.154666943727483,0.975,0.9750206860286077
mixed,55,Magnitude-only,0,0.03,0.7111111111111111,0.8878340403523348,96,114,202,0.6777777777777778,0.6735997412144428,1.0155795738105098,0.9138888888888889,0.9125134404224851
mixed,55,Full fine-tuning,0,0.001,0.7638888888888888,1.0394578064296307,97,115,17226,0.725,0.7246066072031205,1.0297101525911523,0.8472222222222222,0.8520538781523829
mixed,55,LoRA,1,0.01,0.7277777777777777,0.9836535132766282,48,66,458,0.6694444444444444,0.6633238255295396,1.1072595802133445,0.7555555555555555,0.7374939572572188
mixed,55,LoRA,2,0.03,0.7805555555555556,0.8128052000559832,18,36,916,0.7305555555555555,0.7297570859323179,0.9323174580625367,0.7972222222222223,0.7879572948560355
mixed,55,LoRA,4,0.003,0.7583333333333333,0.8271992965169886,51,69,1832,0.7,0.6964980264797755,0.9486820135997737,0.7916666666666666,0.7872251156965138
mixed,55,LoRA,8,0.01,0.7722222222222223,1.318576446618343,45,63,3664,0.7527777777777778,0.7516132588436288,1.2002622450383484,0.7666666666666667,0.7606060938127579
