architecture,scenario,method_id,method,implementation,allocation,learning_rate,lora_plus_ratio,trainable_parameters,validation_accuracy_mean,validation_accuracy_std,validation_nll_mean,best_epoch_mean,train_seconds_sum,n_pilot_seeds
mlp,contrast,magnitude,Magnitude-only,magnitude,0-0-0,0.003,1.0,202,0.9633333333333333,0.002324055629261316,0.16146540641784668,83.4,4.324844391999932,5
mlp,contrast,magnitude,Magnitude-only,magnitude,0-0-0,0.01,1.0,202,0.9655555555555555,0.0031671539586087183,0.13070976734161377,50.8,3.153803870999809,5
mlp,contrast,magnitude,Magnitude-only,magnitude,0-0-0,0.03,1.0,202,0.9683333333333334,0.0015214515486254574,0.11971160471439361,17.4,1.5948011959999349,5
mlp,mixed,dora,DoRA,dora,4-4-4,0.003,1.0,2034,0.7588888888888888,0.02054429120788954,0.8199717283248902,57.2,4.883953778999967,5
mlp,mixed,dora,DoRA,dora,4-4-4,0.01,1.0,2034,0.7683333333333333,0.014245423783286765,0.8526053309440613,37.6,3.3885696359993744,5
mlp,mixed,dora,DoRA,dora,4-4-4,0.03,1.0,2034,0.7733333333333333,0.024104325722129588,0.7428449392318726,15.8,1.990490848999798,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.003,1.0,1798,0.7538888888888888,0.024736263178770184,0.8485864996910095,59.6,4.532895515999826,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.01,1.0,1798,0.7572222222222222,0.022012903062398823,0.8523278355598449,36.8,3.329211473000214,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-3-6,0.03,1.0,1798,0.7594444444444444,0.022274244663032673,0.8023554801940918,18.8,2.249819480999122,5
mlp,mixed,dora_budgeted,DoRA (LoRA-budget ceiling),dora,3-4-3,0.003,1.0,1768,0.7544444444444445,0.021570298509241238,0.8247745513916016,62.4,5.054950925000412,5
